Año;Clase de población;Comunidades y Ciudades Autónomas;Teletrabajo;Total
2021;Personas ocupadas;07 Castilla y León;Total;941.034
2021;Personas ocupadas;07 Castilla y León;Han teletrabajado;10,3
2021;Personas ocupadas;07 Castilla y León;No han teletrabajado aunque su trabajo les permitiría teletrabajar;14,4
2021;Personas ocupadas;07 Castilla y León;No han teletrabajado porque su trabajo no les permitiría teletrabajar;75,3
2021;Personas ocupadas;07 Castilla y León;No han teletrabajado;
2021;Personas ocupadas;08 Castilla - La Mancha;Total;866.861
2021;Personas ocupadas;08 Castilla - La Mancha;Han teletrabajado;7,8
2021;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado aunque su trabajo les permitiría teletrabajar;15,5
2021;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado porque su trabajo no les permitiría teletrabajar;76,7
2021;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado;
2021;Personas ocupadas;09 Cataluña;Total;3.252.662
2021;Personas ocupadas;09 Cataluña;Han teletrabajado;23,4
2021;Personas ocupadas;09 Cataluña;No han teletrabajado aunque su trabajo les permitiría teletrabajar;14,9
2021;Personas ocupadas;09 Cataluña;No han teletrabajado porque su trabajo no les permitiría teletrabajar;61,7
2021;Personas ocupadas;09 Cataluña;No han teletrabajado;
2021;Personas ocupadas;10 Comunitat Valenciana;Total;1.872.702
2021;Personas ocupadas;10 Comunitat Valenciana;Han teletrabajado;15,5
2021;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,1
2021;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado porque su trabajo no les permitiría teletrabajar;66,4
2021;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado;
2021;Personas ocupadas;11 Extremadura;Total;396.602
2021;Personas ocupadas;11 Extremadura;Han teletrabajado;11,1
2021;Personas ocupadas;11 Extremadura;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,5
2021;Personas ocupadas;11 Extremadura;No han teletrabajado porque su trabajo no les permitiría teletrabajar;68,4
2021;Personas ocupadas;11 Extremadura;No han teletrabajado;
2021;Personas ocupadas;12 Galicia;Total;992.747
2021;Personas ocupadas;12 Galicia;Han teletrabajado;10,8
2021;Personas ocupadas;12 Galicia;No han teletrabajado aunque su trabajo les permitiría teletrabajar;19,9
2021;Personas ocupadas;12 Galicia;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,2
2021;Personas ocupadas;12 Galicia;No han teletrabajado;
2021;Personas ocupadas;13 Madrid, Comunidad de;Total;2.903.578
2021;Personas ocupadas;13 Madrid, Comunidad de;Han teletrabajado;34,5
2021;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,5
2021;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;49
2021;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado;
2021;Personas ocupadas;14 Murcia, Región de;Total;599.204
2021;Personas ocupadas;14 Murcia, Región de;Han teletrabajado;10,4
2021;Personas ocupadas;14 Murcia, Región de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22,3
2021;Personas ocupadas;14 Murcia, Región de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;67,3
2021;Personas ocupadas;14 Murcia, Región de;No han teletrabajado;
2021;Personas ocupadas;15 Navarra, Comunidad Foral de;Total;249.095
2021;Personas ocupadas;15 Navarra, Comunidad Foral de;Han teletrabajado;11,9
2021;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22,8
2021;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;65,3
2021;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado;
2021;Personas ocupadas;16 País Vasco;Total;849.368
2021;Personas ocupadas;16 País Vasco;Han teletrabajado;13,5
2021;Personas ocupadas;16 País Vasco;No han teletrabajado aunque su trabajo les permitiría teletrabajar;24,3
2021;Personas ocupadas;16 País Vasco;No han teletrabajado porque su trabajo no les permitiría teletrabajar;62,1
2021;Personas ocupadas;16 País Vasco;No han teletrabajado;
2021;Personas ocupadas;17 Rioja, La;Total;135.570
2021;Personas ocupadas;17 Rioja, La;Han teletrabajado;11
2021;Personas ocupadas;17 Rioja, La;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,7
2021;Personas ocupadas;17 Rioja, La;No han teletrabajado porque su trabajo no les permitiría teletrabajar;71,3
2021;Personas ocupadas;17 Rioja, La;No han teletrabajado;
2021;Personas ocupadas;18 Ceuta;Total;19.807
2021;Personas ocupadas;18 Ceuta;Han teletrabajado;6,9
2021;Personas ocupadas;18 Ceuta;No han teletrabajado aunque su trabajo les permitiría teletrabajar;49,1
2021;Personas ocupadas;18 Ceuta;No han teletrabajado porque su trabajo no les permitiría teletrabajar;44
2021;Personas ocupadas;18 Ceuta;No han teletrabajado;
2021;Personas ocupadas;19 Melilla;Total;31.268
2021;Personas ocupadas;19 Melilla;Han teletrabajado;6,7
2021;Personas ocupadas;19 Melilla;No han teletrabajado aunque su trabajo les permitiría teletrabajar;10,1
2021;Personas ocupadas;19 Melilla;No han teletrabajado porque su trabajo no les permitiría teletrabajar;83,2
2021;Personas ocupadas;19 Melilla;No han teletrabajado;
2022;Personas ocupadas;01 Andalucía;Total;3.410.920
2022;Personas ocupadas;01 Andalucía;Han teletrabajado;9,4
2022;Personas ocupadas;01 Andalucía;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,8
2022;Personas ocupadas;01 Andalucía;No han teletrabajado porque su trabajo no les permitiría teletrabajar;72,8
2022;Personas ocupadas;01 Andalucía;No han teletrabajado;
2022;Personas ocupadas;02 Aragón;Total;578.091
2022;Personas ocupadas;02 Aragón;Han teletrabajado;7,7
2022;Personas ocupadas;02 Aragón;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,3
2022;Personas ocupadas;02 Aragón;No han teletrabajado porque su trabajo no les permitiría teletrabajar;74
2022;Personas ocupadas;02 Aragón;No han teletrabajado;
2022;Personas ocupadas;03 Asturias, Principado de;Total;387.874
2022;Personas ocupadas;03 Asturias, Principado de;Han teletrabajado;7,6
2022;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,6
2022;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;74,9
2022;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado;
2022;Personas ocupadas;04 Balears, Illes;Total;623.256
2022;Personas ocupadas;04 Balears, Illes;Han teletrabajado;6,7
2022;Personas ocupadas;04 Balears, Illes;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,9
2022;Personas ocupadas;04 Balears, Illes;No han teletrabajado porque su trabajo no les permitiría teletrabajar;76,5
2022;Personas ocupadas;04 Balears, Illes;No han teletrabajado;
2022;Personas ocupadas;05 Canarias;Total;992.323
2022;Personas ocupadas;05 Canarias;Han teletrabajado;10,5
2022;Personas ocupadas;05 Canarias;No han teletrabajado aunque su trabajo les permitiría teletrabajar;13,4
2022;Personas ocupadas;05 Canarias;No han teletrabajado porque su trabajo no les permitiría teletrabajar;76,2
2022;Personas ocupadas;05 Canarias;No han teletrabajado;
2022;Personas ocupadas;06 Cantabria;Total;262.434
2022;Personas ocupadas;06 Cantabria;Han teletrabajado;8,3
2022;Personas ocupadas;06 Cantabria;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,8
2022;Personas ocupadas;06 Cantabria;No han teletrabajado porque su trabajo no les permitiría teletrabajar;73,9
2022;Personas ocupadas;06 Cantabria;No han teletrabajado;
2022;Personas ocupadas;07 Castilla y León;Total;994.298
2022;Personas ocupadas;07 Castilla y León;Han teletrabajado;12,2
2022;Personas ocupadas;07 Castilla y León;No han teletrabajado aunque su trabajo les permitiría teletrabajar;15,9
2022;Personas ocupadas;07 Castilla y León;No han teletrabajado porque su trabajo no les permitiría teletrabajar;71,9
2022;Personas ocupadas;07 Castilla y León;No han teletrabajado;
2022;Personas ocupadas;08 Castilla - La Mancha;Total;921.228
2022;Personas ocupadas;08 Castilla - La Mancha;Han teletrabajado;5,2
2022;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado aunque su trabajo les permitiría teletrabajar;15,9
2022;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado porque su trabajo no les permitiría teletrabajar;78,8
2022;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado;
2022;Personas ocupadas;09 Cataluña;Total;3.543.506
2022;Personas ocupadas;09 Cataluña;Han teletrabajado;21,8
2022;Personas ocupadas;09 Cataluña;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22,1
2022;Personas ocupadas;09 Cataluña;No han teletrabajado porque su trabajo no les permitiría teletrabajar;56,1
2022;Personas ocupadas;09 Cataluña;No han teletrabajado;
2022;Personas ocupadas;10 Comunitat Valenciana;Total;2.147.792
2022;Personas ocupadas;10 Comunitat Valenciana;Han teletrabajado;11,5
2022;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado aunque su trabajo les permitiría teletrabajar;23
2022;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado porque su trabajo no les permitiría teletrabajar;65,5
2022;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado;
2022;Personas ocupadas;11 Extremadura;Total;409.191
2022;Personas ocupadas;11 Extremadura;Han teletrabajado;6
2022;Personas ocupadas;11 Extremadura;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18
2022;Personas ocupadas;11 Extremadura;No han teletrabajado porque su trabajo no les permitiría teletrabajar;76,1
2022;Personas ocupadas;11 Extremadura;No han teletrabajado;
2022;Personas ocupadas;12 Galicia;Total;1.034.810
2022;Personas ocupadas;12 Galicia;Han teletrabajado;8,8
2022;Personas ocupadas;12 Galicia;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,3
2022;Personas ocupadas;12 Galicia;No han teletrabajado porque su trabajo no les permitiría teletrabajar;70,9
2022;Personas ocupadas;12 Galicia;No han teletrabajado;
2022;Personas ocupadas;13 Madrid, Comunidad de;Total;3.150.283
2022;Personas ocupadas;13 Madrid, Comunidad de;Han teletrabajado;24,9
2022;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,2
2022;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;59
2022;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado;
2022;Personas ocupadas;14 Murcia, Región de;Total;621.262
2022;Personas ocupadas;14 Murcia, Región de;Han teletrabajado;8,7
2022;Personas ocupadas;14 Murcia, Región de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22
2022;Personas ocupadas;14 Murcia, Región de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,3
2022;Personas ocupadas;14 Murcia, Región de;No han teletrabajado;
2022;Personas ocupadas;15 Navarra, Comunidad Foral de;Total;305.313
2022;Personas ocupadas;15 Navarra, Comunidad Foral de;Han teletrabajado;10,5
2022;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;25,2
2022;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;64,4
2022;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado;
2022;Personas ocupadas;16 País Vasco;Total;904.769
2022;Personas ocupadas;16 País Vasco;Han teletrabajado;13,6
2022;Personas ocupadas;16 País Vasco;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,2
2022;Personas ocupadas;16 País Vasco;No han teletrabajado porque su trabajo no les permitiría teletrabajar;66,3
2022;Personas ocupadas;16 País Vasco;No han teletrabajado;
2022;Personas ocupadas;17 Rioja, La;Total;147.106
2022;Personas ocupadas;17 Rioja, La;Han teletrabajado;7,5
2022;Personas ocupadas;17 Rioja, La;No han teletrabajado aunque su trabajo les permitiría teletrabajar;19,1
2022;Personas ocupadas;17 Rioja, La;No han teletrabajado porque su trabajo no les permitiría teletrabajar;73,4
2022;Personas ocupadas;17 Rioja, La;No han teletrabajado;
2022;Personas ocupadas;18 Ceuta;Total;28.382
2022;Personas ocupadas;18 Ceuta;Han teletrabajado;7,4
2022;Personas ocupadas;18 Ceuta;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,1
2022;Personas ocupadas;18 Ceuta;No han teletrabajado porque su trabajo no les permitiría teletrabajar;75,4
2022;Personas ocupadas;18 Ceuta;No han teletrabajado;
2022;Personas ocupadas;19 Melilla;Total;35.337
2022;Personas ocupadas;19 Melilla;Han teletrabajado;3,8
2022;Personas ocupadas;19 Melilla;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,1
2022;Personas ocupadas;19 Melilla;No han teletrabajado porque su trabajo no les permitiría teletrabajar;80,1
2022;Personas ocupadas;19 Melilla;No han teletrabajado;
2023;Personas ocupadas;01 Andalucía;Total;3.251.064
2023;Personas ocupadas;01 Andalucía;Han teletrabajado;8,8
2023;Personas ocupadas;01 Andalucía;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,2
2023;Personas ocupadas;01 Andalucía;No han teletrabajado porque su trabajo no les permitiría teletrabajar;71
2023;Personas ocupadas;01 Andalucía;No han teletrabajado;
2023;Personas ocupadas;02 Aragón;Total;593.938
2023;Personas ocupadas;02 Aragón;Han teletrabajado;8,9
2023;Personas ocupadas;02 Aragón;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,2
2023;Personas ocupadas;02 Aragón;No han teletrabajado porque su trabajo no les permitiría teletrabajar;72,9
2023;Personas ocupadas;02 Aragón;No han teletrabajado;
2023;Personas ocupadas;03 Asturias, Principado de;Total;400.470
2023;Personas ocupadas;03 Asturias, Principado de;Han teletrabajado;8,7
2023;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,7
2023;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;73,5
2023;Personas ocupadas;03 Asturias, Principado de;No han teletrabajado;
2023;Personas ocupadas;04 Balears, Illes;Total;596.124
2023;Personas ocupadas;04 Balears, Illes;Han teletrabajado;13
2023;Personas ocupadas;04 Balears, Illes;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,2
2023;Personas ocupadas;04 Balears, Illes;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,8
2023;Personas ocupadas;04 Balears, Illes;No han teletrabajado;
2023;Personas ocupadas;05 Canarias;Total;1.005.753
2023;Personas ocupadas;05 Canarias;Han teletrabajado;10,9
2023;Personas ocupadas;05 Canarias;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20,5
2023;Personas ocupadas;05 Canarias;No han teletrabajado porque su trabajo no les permitiría teletrabajar;68,6
2023;Personas ocupadas;05 Canarias;No han teletrabajado;
2023;Personas ocupadas;06 Cantabria;Total;260.561
2023;Personas ocupadas;06 Cantabria;Han teletrabajado;6,4
2023;Personas ocupadas;06 Cantabria;No han teletrabajado aunque su trabajo les permitiría teletrabajar;15,6
2023;Personas ocupadas;06 Cantabria;No han teletrabajado porque su trabajo no les permitiría teletrabajar;78
2023;Personas ocupadas;06 Cantabria;No han teletrabajado;
2023;Personas ocupadas;07 Castilla y León;Total;984.325
2023;Personas ocupadas;07 Castilla y León;Han teletrabajado;8,5
2023;Personas ocupadas;07 Castilla y León;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,6
2023;Personas ocupadas;07 Castilla y León;No han teletrabajado porque su trabajo no les permitiría teletrabajar;74,9
2023;Personas ocupadas;07 Castilla y León;No han teletrabajado;
2023;Personas ocupadas;08 Castilla - La Mancha;Total;913.282
2023;Personas ocupadas;08 Castilla - La Mancha;Han teletrabajado;5
2023;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado aunque su trabajo les permitiría teletrabajar;19,9
2023;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado porque su trabajo no les permitiría teletrabajar;75,2
2023;Personas ocupadas;08 Castilla - La Mancha;No han teletrabajado;
2023;Personas ocupadas;09 Cataluña;Total;3.765.062
2023;Personas ocupadas;09 Cataluña;Han teletrabajado;19,4
2023;Personas ocupadas;09 Cataluña;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,7
2023;Personas ocupadas;09 Cataluña;No han teletrabajado porque su trabajo no les permitiría teletrabajar;62,9
2023;Personas ocupadas;09 Cataluña;No han teletrabajado;
2023;Personas ocupadas;10 Comunitat Valenciana;Total;2.174.560
2023;Personas ocupadas;10 Comunitat Valenciana;Han teletrabajado;13,7
2023;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado aunque su trabajo les permitiría teletrabajar;21,1
2023;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado porque su trabajo no les permitiría teletrabajar;65,2
2023;Personas ocupadas;10 Comunitat Valenciana;No han teletrabajado;
2023;Personas ocupadas;11 Extremadura;Total;390.389
2023;Personas ocupadas;11 Extremadura;Han teletrabajado;9
2023;Personas ocupadas;11 Extremadura;No han teletrabajado aunque su trabajo les permitiría teletrabajar;17,6
2023;Personas ocupadas;11 Extremadura;No han teletrabajado porque su trabajo no les permitiría teletrabajar;73,4
2023;Personas ocupadas;11 Extremadura;No han teletrabajado;
2023;Personas ocupadas;12 Galicia;Total;1.099.869
2023;Personas ocupadas;12 Galicia;Han teletrabajado;8,6
2023;Personas ocupadas;12 Galicia;No han teletrabajado aunque su trabajo les permitiría teletrabajar;20
2023;Personas ocupadas;12 Galicia;No han teletrabajado porque su trabajo no les permitiría teletrabajar;71,5
2023;Personas ocupadas;12 Galicia;No han teletrabajado;
2023;Personas ocupadas;13 Madrid, Comunidad de;Total;3.306.003
2023;Personas ocupadas;13 Madrid, Comunidad de;Han teletrabajado;24
2023;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;16,2
2023;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;59,8
2023;Personas ocupadas;13 Madrid, Comunidad de;No han teletrabajado;
2023;Personas ocupadas;14 Murcia, Región de;Total;663.783
2023;Personas ocupadas;14 Murcia, Región de;Han teletrabajado;7,1
2023;Personas ocupadas;14 Murcia, Región de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,8
2023;Personas ocupadas;14 Murcia, Región de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;74,1
2023;Personas ocupadas;14 Murcia, Región de;No han teletrabajado;
2023;Personas ocupadas;15 Navarra, Comunidad Foral de;Total;282.187
2023;Personas ocupadas;15 Navarra, Comunidad Foral de;Han teletrabajado;12,9
2023;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado aunque su trabajo les permitiría teletrabajar;18,4
2023;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado porque su trabajo no les permitiría teletrabajar;68,8
2023;Personas ocupadas;15 Navarra, Comunidad Foral de;No han teletrabajado;
2023;Personas ocupadas;16 País Vasco;Total;984.302
2023;Personas ocupadas;16 País Vasco;Han teletrabajado;13,4
2023;Personas ocupadas;16 País Vasco;No han teletrabajado aunque su trabajo les permitiría teletrabajar;24,7
2023;Personas ocupadas;16 País Vasco;No han teletrabajado porque su trabajo no les permitiría teletrabajar;61,9
2023;Personas ocupadas;16 País Vasco;No han teletrabajado;
2023;Personas ocupadas;17 Rioja, La;Total;143.523
2023;Personas ocupadas;17 Rioja, La;Han teletrabajado;7,5
2023;Personas ocupadas;17 Rioja, La;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22,7
2023;Personas ocupadas;17 Rioja, La;No han teletrabajado porque su trabajo no les permitiría teletrabajar;69,8
2023;Personas ocupadas;17 Rioja, La;No han teletrabajado;
2023;Personas ocupadas;18 Ceuta;Total;24.235
2023;Personas ocupadas;18 Ceuta;Han teletrabajado;4,7
2023;Personas ocupadas;18 Ceuta;No han teletrabajado aunque su trabajo les permitiría teletrabajar;7,5
2023;Personas ocupadas;18 Ceuta;No han teletrabajado porque su trabajo no les permitiría teletrabajar;87,8
2023;Personas ocupadas;18 Ceuta;No han teletrabajado;
2023;Personas ocupadas;19 Melilla;Total;33.715
2023;Personas ocupadas;19 Melilla;Han teletrabajado;7,8
2023;Personas ocupadas;19 Melilla;No han teletrabajado aunque su trabajo les permitiría teletrabajar;22,1
2023;Personas ocupadas;19 Melilla;No han teletrabajado porque su trabajo no les permitiría teletrabajar;70,1
2023;Personas ocupadas;19 Melilla;No han teletrabajado;
