Grupo de edad;Comunidad autónoma;Sexo;Nivel de formación;periodo;Total
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2004;26,75
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2003;25,63
25 - 64 años;TOTAL;AMBOS SEXOS;E. Superior;2002;24,92
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;39,16
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;39,62
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;39,94
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;40,23
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;41,69
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;42,76
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2017;43,52
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2016;44,33
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2015;44,68
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2014;45,16
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2013;46,58
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2012;47,07
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2011;47,43
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2010;48,32
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2009;49,38
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2008;49,49
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2007;49,73
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2006;50,76
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2005;51,42
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2004;54,61
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2003;55,96
25 - 64 años;TOTAL;Hombres;Inferior a 2ª etapa de E. Secundaria;2002;57,19
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2023;22,95
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2022;23,28
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2021;23,00
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2020;23,08
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2019;22,48
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2018;22,60
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2017;22,72
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2016;22,69
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2015;22,66
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2014;22,02
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2013;21,37
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2012;21,86
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2011;22,05
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2010;22,11
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2009;21,74
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2008;21,65
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2007;21,66
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2006;20,97
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2005;20,39
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2004;18,86
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2003;18,28
25 - 64 años;TOTAL;Hombres;2ª etapa E. Secundaria;2002;17,64
25 - 64 años;TOTAL;Hombres;E. Superior;2023;37,89
25 - 64 años;TOTAL;Hombres;E. Superior;2022;37,11
25 - 64 años;TOTAL;Hombres;E. Superior;2021;37,06
25 - 64 años;TOTAL;Hombres;E. Superior;2020;36,69
25 - 64 años;TOTAL;Hombres;E. Superior;2019;35,83
25 - 64 años;TOTAL;Hombres;E. Superior;2018;34,64
25 - 64 años;TOTAL;Hombres;E. Superior;2017;33,75
25 - 64 años;TOTAL;Hombres;E. Superior;2016;32,98
25 - 64 años;TOTAL;Hombres;E. Superior;2015;32,66
25 - 64 años;TOTAL;Hombres;E. Superior;2014;32,81
25 - 64 años;TOTAL;Hombres;E. Superior;2013;32,05
25 - 64 años;TOTAL;Hombres;E. Superior;2012;31,08
25 - 64 años;TOTAL;Hombres;E. Superior;2011;30,52
25 - 64 años;TOTAL;Hombres;E. Superior;2010;29,57
25 - 64 años;TOTAL;Hombres;E. Superior;2009;28,89
25 - 64 años;TOTAL;Hombres;E. Superior;2008;28,87
25 - 64 años;TOTAL;Hombres;E. Superior;2007;28,61
25 - 64 años;TOTAL;Hombres;E. Superior;2006;28,27
25 - 64 años;TOTAL;Hombres;E. Superior;2005;28,20
25 - 64 años;TOTAL;Hombres;E. Superior;2004;26,52
25 - 64 años;TOTAL;Hombres;E. Superior;2003;25,76
25 - 64 años;TOTAL;Hombres;E. Superior;2002;25,17
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2023;32,49
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2022;33,07
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2021;33,19
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2020;34,07
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2019;35,71
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2018;37,03
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2017;38,34
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2016;39,13
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2015;40,45
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2014;41,60
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2013;42,50
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2012;43,60
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2011;44,47
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2010;45,91
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2009;47,35
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2008;48,30
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2007;48,98
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2006;49,85
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2005;51,07
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2004;54,66
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2003;56,72
25 - 64 años;TOTAL;Mujeres;Inferior a 2ª etapa de E. Secundaria;2002;58,33
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2023;22,53
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2022;22,66
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2021;23,16
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2020;23,27
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2019;22,95
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2018;23,13
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2017;22,73
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2016;22,47
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2015;22,05
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2014;21,85
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2013;22,07
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2012;22,15
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2011;22,20
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2010;21,60
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2009;21,53
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2008;21,52
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2007;21,07
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2006;20,79
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2005;20,08
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2004;18,37
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2003;17,79
25 - 64 años;TOTAL;Mujeres;2ª etapa E. Secundaria;2002;16,99
25 - 64 años;TOTAL;Mujeres;E. Superior;2023;44,98
25 - 64 años;TOTAL;Mujeres;E. Superior;2022;44,27
25 - 64 años;TOTAL;Mujeres;E. Superior;2021;43,64
25 - 64 años;TOTAL;Mujeres;E. Superior;2020;42,66
25 - 64 años;TOTAL;Mujeres;E. Superior;2019;41,34
25 - 64 años;TOTAL;Mujeres;E. Superior;2018;39,85
25 - 64 años;TOTAL;Mujeres;E. Superior;2017;38,93
25 - 64 años;TOTAL;Mujeres;E. Superior;2016;38,40
25 - 64 años;TOTAL;Mujeres;E. Superior;2015;37,50
25 - 64 años;TOTAL;Mujeres;E. Superior;2014;36,55
25 - 64 años;TOTAL;Mujeres;E. Superior;2013;35,43
25 - 64 años;TOTAL;Mujeres;E. Superior;2012;34,24
25 - 64 años;TOTAL;Mujeres;E. Superior;2011;33,33
25 - 64 años;TOTAL;Mujeres;E. Superior;2010;32,49
25 - 64 años;TOTAL;Mujeres;E. Superior;2009;31,12
25 - 64 años;TOTAL;Mujeres;E. Superior;2008;30,19
25 - 64 años;TOTAL;Mujeres;E. Superior;2007;29,96
25 - 64 años;TOTAL;Mujeres;E. Superior;2006;29,36
25 - 64 años;TOTAL;Mujeres;E. Superior;2005;28,85
25 - 64 años;TOTAL;Mujeres;E. Superior;2004;26,98
25 - 64 años;TOTAL;Mujeres;E. Superior;2003;25,49
25 - 64 años;TOTAL;Mujeres;E. Superior;2002;24,67
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2023;42,74
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2022;43,87
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2021;45,05
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2020;46,74
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2019;47,79
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2018;48,97
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2017;50,52
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2016;50,85
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2015;51,45
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2014;52,44
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2013;52,94
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2012;54,02
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2011;54,71
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2010;55,65
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2009;56,26
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2008;57,50
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2007;58,28
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2006;59,08
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2005;59,35
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2004;62,07
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2003;63,81
25 - 64 años;Andalucía;AMBOS SEXOS;Inferior a 2ª etapa de E. Secundaria;2002;64,76
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2023;21,46
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2022;21,15
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2021;20,96
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2020;20,72
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2019;21,04
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2018;20,69
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2017;19,87
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2016;20,01
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2015;20,25
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2014;20,00
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2013;19,73
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2012;19,52
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2011;19,53
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2010;18,60
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2009;18,57
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2008;17,77
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2007;17,63
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2006;17,69
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2005;17,64
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2004;16,10
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2003;15,09
25 - 64 años;Andalucía;AMBOS SEXOS;2ª etapa E. Secundaria;2002;15,14
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2023;35,81
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2022;34,97
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2021;33,99
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2020;32,55
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2019;31,17
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2018;30,34
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2017;29,61
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2016;29,14
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2015;28,31
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2014;27,57
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2013;27,33
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2012;26,46
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2011;25,76
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2010;25,74
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2009;25,17
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2008;24,73
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2007;24,09
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2006;23,23
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2005;23,01
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2004;21,84
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2003;21,10
25 - 64 años;Andalucía;AMBOS SEXOS;E. Superior;2002;20,10
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;46,03
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;47,43
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;48,57
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;49,77
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;50,12
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2018;51,31
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2017;53,02
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2016;53,31
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2015;53,72
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2014;54,83
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2013;54,70
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2012;55,33
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2011;56,07
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2010;56,75
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2009;56,99
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2008;57,78
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2007;58,36
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2006;59,39
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2005;58,92
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2004;61,22
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2003;62,85
25 - 64 años;Andalucía;Hombres;Inferior a 2ª etapa de E. Secundaria;2002;63,76
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2023;21,28
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2022;20,91
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2021;20,78
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2020;20,54
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2019;20,96
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2018;20,47
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2017;19,72
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2016;19,80
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2015;19,97
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2014;19,54
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2013;19,30
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2012;19,02
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2011;19,29
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2010;18,96
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2009;18,74
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2008;17,87
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2007;18,13
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2006;18,02
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2005;17,98
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2004;16,69
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2003;15,57
25 - 64 años;Andalucía;Hombres;2ª etapa E. Secundaria;2002;15,47
25 - 64 años;Andalucía;Hombres;E. Superior;2023;32,69
25 - 64 años;Andalucía;Hombres;E. Superior;2022;31,66
25 - 64 años;Andalucía;Hombres;E. Superior;2021;30,65
25 - 64 años;Andalucía;Hombres;E. Superior;2020;29,69
25 - 64 años;Andalucía;Hombres;E. Superior;2019;28,92
25 - 64 años;Andalucía;Hombres;E. Superior;2018;28,22
25 - 64 años;Andalucía;Hombres;E. Superior;2017;27,26
25 - 64 años;Andalucía;Hombres;E. Superior;2016;26,89
25 - 64 años;Andalucía;Hombres;E. Superior;2015;26,30
25 - 64 años;Andalucía;Hombres;E. Superior;2014;25,63
25 - 64 años;Andalucía;Hombres;E. Superior;2013;26,00
25 - 64 años;Andalucía;Hombres;E. Superior;2012;25,66
25 - 64 años;Andalucía;Hombres;E. Superior;2011;24,64
25 - 64 años;Andalucía;Hombres;E. Superior;2010;24,29
25 - 64 años;Andalucía;Hombres;E. Superior;2009;24,27
25 - 64 años;Andalucía;Hombres;E. Superior;2008;24,35
25 - 64 años;Andalucía;Hombres;E. Superior;2007;23,52
25 - 64 años;Andalucía;Hombres;E. Superior;2006;22,60
25 - 64 años;Andalucía;Hombres;E. Superior;2005;23,10
25 - 64 años;Andalucía;Hombres;E. Superior;2004;22,08
25 - 64 años;Andalucía;Hombres;E. Superior;2003;21,58
